,origin_airport_id,op_unique_carrier,Delayed,ratio,Ratio_Percentage
341,10693,G4,1,31,
342,10693,MQ,0,207,
343,10693,MQ,1,49,
344,10693,NK,0,260,
345,10693,NK,1,50,
346,10693,OH,0,168,
347,10693,OH,1,58,
348,10693,OO,0,566,
349,10693,OO,1,113,
350,10693,UA,0,215,
351,10693,UA,1,60,
352,10693,WN,0,4753,
353,10693,WN,1,714,
354,10693,YV,0,133,
355,10693,YV,1,39,
356,10693,YX,0,505,
357,10693,YX,1,70,
358,10713,AA,0,90,
359,10713,AA,1,34,
360,10713,AS,0,69,
361,10713,AS,1,35,
362,10713,DL,0,120,
363,10713,DL,1,12,
364,10713,G4,0,29,
365,10713,G4,1,16,
366,10713,MQ,0,94,
367,10713,MQ,1,17,
368,10713,OO,0,1277,
369,10713,OO,1,259,
370,10713,UA,0,94,
371,10713,UA,1,10,
372,10713,WN,0,559,
373,10713,WN,1,47,
374,10713,YV,0,5,
375,10721,9E,0,431,
376,10721,9E,1,60,
377,10721,AA,0,2795,
378,10721,AA,1,409,
379,10721,AS,0,241,
380,10721,AS,1,93,
381,10721,B6,0,6085,
382,10721,B6,1,1395,
383,10721,DL,0,2071,
384,10721,DL,1,336,
385,10721,F9,0,77,
386,10721,F9,1,17,
387,10721,HA,0,28,
388,10721,HA,1,8,
389,10721,NK,0,472,
390,10721,NK,1,158,
391,10721,OO,0,17,
392,10721,OO,1,15,
393,10721,UA,0,1388,
394,10721,UA,1,214,
395,10721,WN,0,961,
396,10721,WN,1,110,
397,10721,YV,0,18,
398,10721,YV,1,4,
399,10721,YX,0,2403,
400,10721,YX,1,355,
401,10728,MQ,0,97,
402,10728,MQ,1,20,
403,10731,OO,0,131,
404,10731,OO,1,12,
405,10732,B6,0,145,
406,10732,B6,1,49,
407,10732,NK,0,58,
408,10732,NK,1,27,
409,10732,UA,0,27,
410,10732,UA,1,25,
411,10739,OO,0,73,
412,10739,OO,1,13,
413,10747,EV,0,72,
414,10747,EV,1,6,
415,10747,MQ,0,116,
416,10747,MQ,1,13,
417,10747,YV,0,80,
418,10747,YV,1,10,
419,10747,YX,0,7,
420,10754,AS,0,87,
421,10754,AS,1,17,
422,10779,OO,0,90,
423,10779,OO,1,7,
424,10781,9E,0,249,
425,10781,9E,1,45,
426,10781,EV,0,194,
427,10781,EV,1,32,
428,10781,MQ,0,123,
429,10781,MQ,1,43,
430,10781,OH,0,97,
431,10781,OH,1,35,
432,10781,OO,0,57,
433,10781,OO,1,7,
434,10781,UA,0,1,
435,10781,UA,1,1,
436,10781,YV,0,72,
437,10781,YV,1,17,
438,10781,YX,0,6,
439,10785,9E,0,271,
440,10785,9E,1,81,
441,10785,B6,0,123,
442,10785,B6,1,33,
443,10785,EV,0,32,
444,10785,EV,1,17,
445,10785,F9,0,12,
446,10785,F9,1,10,
447,10785,OH,0,83,
448,10785,OH,1,32,
449,10785,OO,0,2,
450,10785,OO,1,2,
451,10785,UA,0,12,
452,10785,UA,1,2,
453,10785,YV,0,38,
454,10785,YV,1,16,
455,10785,YX,0,236,
456,10785,YX,1,47,
457,10792,9E,0,474,
458,10792,9E,1,52,
459,10792,AA,0,144,
460,10792,AA,1,25,
461,10792,B6,0,479,
462,10792,B6,1,82,
463,10792,DL,0,194,
464,10792,DL,1,39,
465,10792,EV,0,38,
466,10792,EV,1,24,
467,10792,F9,0,75,
468,10792,F9,1,32,
469,10792,MQ,0,147,
470,10792,MQ,1,29,
471,10792,OH,0,112,
472,10792,OH,1,37,
473,10792,OO,0,56,
474,10792,OO,1,15,
475,10792,UA,0,80,
476,10792,UA,1,2,
477,10792,WN,0,609,
478,10792,WN,1,125,
479,10792,YV,0,5,
480,10792,YV,1,2,
481,10792,YX,0,83,
482,10792,YX,1,23,
483,10800,AA,0,89,
484,10800,AA,1,17,
